Trial,o1_0,o1_1,o2_0,o2_1,o3_0,o3_1,u_0,u_1
0,1,5,3,3,1,8,1,8
1,1,3,5,5,1,2,1,2
2,1,4,2,2,1,8,1,8
3,1,6,4,4,1,10,1,10
4,1,2,1,1,1,9,1,9
5,1,5,3,3,1,8,1,8
6,1,3,4,4,1,6,1,6
7,1,3,2,2,1,3,1,3
8,1,3,1,1,1,9,1,9
9,1,7,5,5,1,4,1,4
10,1,4,2,2,1,6,1,6
11,1,3,4,4,1,2,1,2
12,1,3,1,1,1,8,1,8
13,1,7,5,5,1,7,1,7
14,1,6,4,4,1,10,1,10
15,1,4,2,2,1,4,1,4
16,1,5,3,3,1,2,1,2
17,1,7,5,5,1,5,1,5
18,1,5,3,3,1,9,1,9
19,1,3,1,1,1,5,1,5
20,1,3,2,2,1,9,1,9
21,1,7,5,5,1,4,1,4
22,1,5,3,3,1,5,1,5
23,1,4,2,2,1,5,1,5
24,1,3,5,5,1,2,1,2
25,1,6,4,4,1,5,1,5
26,1,3,3,3,1,7,1,7
27,1,3,1,1,1,2,1,2
28,1,7,5,5,1,6,1,6
29,1,4,2,2,1,7,1,7
30,1,6,4,4,1,7,1,7
31,1,7,5,5,1,8,1,8
32,1,3,1,1,1,7,1,7
33,1,5,3,3,1,6,1,6
34,1,3,1,1,1,6,1,6
35,1,4,2,2,1,5,1,5
36,1,7,5,5,1,8,1,8
37,1,2,1,1,1,10,1,10
38,1,5,3,3,1,10,1,10
39,1,6,4,4,1,9,1,9
40,1,5,3,3,1,3,1,3
41,1,3,1,1,1,4,1,4
42,1,6,4,4,1,7,1,7
43,1,4,2,2,1,2,1,2
44,1,7,5,5,1,7,1,7
45,1,3,4,4,1,9,1,9
46,1,3,1,1,1,2,1,2
47,1,6,4,4,1,2,1,2
48,1,3,2,2,1,6,1,6
49,1,5,3,3,1,9,1,9
50,1,6,4,4,1,5,1,5
51,1,3,1,1,1,7,1,7
52,1,5,3,3,1,10,1,10
53,1,7,5,5,1,9,1,9
54,1,4,2,2,1,2,1,2
55,1,2,1,1,1,3,1,3
56,1,4,2,2,1,8,1,8
57,1,6,4,4,1,4,1,4
58,1,7,5,5,1,2,1,2
59,1,5,3,3,1,6,1,6
60,1,3,1,1,1,6,1,6
61,1,4,2,2,1,10,1,10
62,1,3,5,5,1,10,1,10
63,1,6,4,4,1,8,1,8
64,1,5,3,3,1,4,1,4
65,1,6,4,4,1,9,1,9
66,1,5,3,3,1,4,1,4
67,1,7,5,5,1,6,1,6
68,1,4,2,2,1,3,1,3
69,1,3,1,1,1,8,1,8
70,1,7,5,5,1,3,1,3
71,1,6,4,4,1,6,1,6
72,1,5,3,3,1,7,1,7
73,1,3,2,2,1,4,1,4
74,1,3,1,1,1,4,1,4
75,1,3,3,3,1,7,1,7
76,1,6,4,4,1,4,1,4
77,1,7,5,5,1,9,1,9
78,1,4,2,2,1,9,1,9
79,1,2,1,1,1,10,1,10
80,1,7,5,5,1,5,1,5
81,1,5,3,3,1,3,1,3
82,1,3,1,1,1,3,1,3
83,1,4,2,2,1,7,1,7
84,1,6,4,4,1,3,1,3
85,1,3,1,1,1,5,1,5
86,1,4,2,2,1,10,1,10
87,1,7,5,5,1,3,1,3
88,1,3,3,3,1,2,1,2
89,1,6,4,4,1,8,1,8
